ExciseTaxNbr,Month,Day,Year,SalePrice,PropertyType,PropertyClass,PrincipalUse,SaleInstrument,SaleReason,AFHistoricProperty
2687551,8,21,2014,245000,3,8,6,3,1,False
3080093,10,27,2020,0,11,8,6,15,18,False
1235111,7,9,1991,0,3,3,0,26,18,False
2704079,10,11,2014,0,3,8,6,15,18,False
2584094,1,4,2013,0,3,8,6,15,11,False
3027422,12,20,2019,560000,3,8,6,3,1,False
1056831,4,20,1989,85000,3,9,0,2,1,False
1971467,7,7,2003,0,6,3,2,22,8,False
1813750,4,25,2001,5755000,1,7,9,3,1,False
1813750,4,25,2001,5755000,1,7,9,3,1,False
1813750,4,25,2001,5755000,1,7,9,3,1,False
1813750,4,25,2001,5755000,1,7,9,3,1,False
1813750,4,25,2001,5755000,1,7,9,3,1,False
1813750,4,25,2001,5755000,1,7,9,3,1,False
1813750,4,25,2001,5755000,1,7,9,3,1,False
1813750,4,25,2001,5755000,1,7,9,3,1,False
1813750,4,25,2001,5755000,1,7,9,3,1,False
1813750,4,25,2001,5755000,1,7,9,3,1,False
1813750,4,25,2001,5755000,1,7,9,3,1,False
1813750,4,25,2001,5755000,1,7,9,3,1,False
1813750,4,25,2001,5755000,1,7,9,3,1,False
1813750,4,25,2001,5755000,1,7,9,3,1,False
1813750,4,25,2001,5755000,1,7,9,3,1,False
714942,4,6,1983,91500,2,8,6,2,1,False
1729614,12,21,1999,0,3,8,11,15,10,False
1729614,12,21,1999,0,3,8,11,15,10,False
2254430,12,5,2006,0,3,2,11,15,18,False
685277,8,11,1982,0,3,3,2,15,1,False
961971,8,25,1987,37500,1,7,0,2,1,False
2857854,3,28,2017,0,3,2,7,15,16,False
2546588,5,22,2012,0,1,7,6,15,11,False
1157170,6,8,1990,0,3,8,0,18,16,False
1709671,9,8,1999,292000,3,8,6,3,1,False
2420985,12,4,2009,287000,3,8,6,3,1,False
2043998,5,27,2004,5518000,1,7,6,3,1,False
2043998,5,27,2004,5518000,1,7,6,3,1,False
2043998,5,27,2004,5518000,1,7,6,3,1,False
2043998,5,27,2004,5518000,1,7,6,3,1,False
2043998,5,27,2004,5518000,1,7,6,3,1,False
2043998,5,27,2004,5518000,1,7,6,3,1,False
2043998,5,27,2004,5518000,1,7,6,3,1,False
2043998,5,27,2004,5518000,1,7,6,3,1,False
2043998,5,27,2004,5518000,1,7,6,3,1,False
2043998,5,27,2004,5518000,1,7,6,3,1,False
2043998,5,27,2004,5518000,1,7,6,3,1,False
2043998,5,27,2004,5518000,1,7,6,3,1,False
2671216,4,2,2014,0,3,8,6,15,11,False
2201052,3,3,2006,0,3,3,2,15,14,False
2548641,6,7,2012,335000,3,8,6,3,1,False
1598443,3,6,1998,209950,3,8,6,3,1,False
2339550,3,28,2008,0,3,8,6,15,18,False
1766926,7,23,2000,154950,3,3,2,3,1,False
2743355,7,14,2015,190000,3,8,6,3,1,False
1684472,2,12,1999,0,3,8,6,15,11,False
2040352,5,10,2004,2100000,1,7,6,3,1,False
2040352,5,10,2004,2100000,1,7,6,3,1,False
2040352,5,10,2004,2100000,1,7,6,3,1,False
2040352,5,10,2004,2100000,1,7,6,3,1,False
2040352,5,10,2004,2100000,1,7,6,3,1,False
2040352,5,10,2004,2100000,1,7,6,3,1,False
2040352,5,10,2004,2100000,1,7,6,3,1,False
2040352,5,10,2004,2100000,1,7,6,3,1,False
2040352,5,10,2004,2100000,1,7,6,3,1,False
2040352,5,10,2004,2100000,1,7,6,3,1,False
2040352,5,10,2004,2100000,1,7,6,3,1,False
2040352,5,10,2004,2100000,1,7,6,3,1,False
2040352,5,10,2004,2100000,1,7,6,3,1,False
2040352,5,10,2004,2100000,1,7,6,3,1,False
2040352,5,10,2004,2100000,1,7,6,3,1,False
1217902,10,11,1991,0,3,8,0,15,18,False
1217902,10,11,1991,0,3,8,0,15,18,False
1217902,10,11,1991,0,3,8,0,15,18,False
955304,6,28,1987,0,1,2,0,2,18,False
666873,2,4,1982,66500,3,8,6,10,1,False
2701245,10,31,2014,0,3,8,6,15,19,False
2324422,9,26,2007,0,3,8,6,2,18,False
2559110,8,13,2012,327500,3,8,6,3,1,False
2508173,8,25,2011,0,3,2,7,24,8,False
2077507,10,14,2004,150000,1,7,6,3,1,False
1571781,9,1,1997,505,1,7,6,27,18,False
1989556,9,12,2003,515000,3,8,6,3,1,False
2603013,8,2,2012,0,1,1,11,15,16,False
2603013,8,2,2012,0,1,1,11,15,16,False
2603013,8,2,2012,0,1,1,11,15,16,False
2603013,8,2,2012,0,1,1,11,15,16,False
2603013,8,2,2012,0,1,1,11,15,16,False
2603013,8,2,2012,0,1,1,11,15,16,False
2603013,8,2,2012,0,1,1,11,15,16,False
2603013,8,2,2012,0,1,1,11,15,16,False
2603013,8,2,2012,0,1,1,11,15,16,False
2603013,8,2,2012,0,1,1,11,15,16,False
2603013,8,2,2012,0,1,1,11,15,16,False
2040352,5,10,2004,2100000,1,7,6,3,1,False
2040352,5,10,2004,2100000,1,7,6,3,1,False
1606088,4,10,1998,130000,3,3,2,3,1,False
3002257,7,22,2019,435000,11,8,6,3,1,False
2233675,8,23,2006,389000,3,8,6,3,1,False
2148327,8,16,2005,400000,3,8,6,3,1,False
1274378,10,14,1992,86000,3,3,0,2,1,False
2651984,10,1,2013,0,1,7,6,15,19,False
2651984,10,1,2013,0,1,7,6,15,19,False
2674084,6,13,2014,615000,3,8,6,3,1,False
2837936,12,5,2016,133000,3,8,6,27,18,False
1253551,6,18,1992,51000,2,8,6,2,1,False
1988700,9,11,2003,180000,3,3,2,3,8,False
2703874,1,31,2011,0,3,8,6,15,16,False
2380625,2,18,2009,0,3,3,2,27,18,False
2380625,2,18,2009,0,3,3,2,27,18,False
2380625,2,18,2009,0,3,3,2,27,18,False
2380625,2,18,2009,0,3,3,2,27,18,False
2380625,2,18,2009,0,3,3,2,27,18,False
2380625,2,18,2009,0,3,3,2,27,18,False
2380625,2,18,2009,0,3,3,2,27,18,False
2380625,2,18,2009,0,3,3,2,27,18,False
2380625,2,18,2009,0,3,3,2,27,18,False
1600768,3,19,1998,215000,2,3,2,3,1,False
2413752,9,11,2009,0,3,3,2,15,11,False
1939480,2,6,2003,0,3,8,6,15,10,False
2999169,7,8,2019,192000,3,3,2,3,1,False
2220242,5,30,2006,0,1,7,6,3,18,False
2252406,11,16,2006,690576,2,8,6,3,1,False
3110091,3,29,2021,620000,11,8,6,2,1,False
2421752,12,16,2009,2340000,1,7,6,3,1,False
2421752,12,16,2009,2340000,1,7,6,3,1,False
2421752,12,16,2009,2340000,1,7,6,3,1,False
2421752,12,16,2009,2340000,1,7,6,3,1,False
2421752,12,16,2009,2340000,1,7,6,3,1,False
2421752,12,16,2009,2340000,1,7,6,3,1,False
2421752,12,16,2009,2340000,1,7,6,3,1,False
2421752,12,16,2009,2340000,1,7,6,3,1,False
2421752,12,16,2009,2340000,1,7,6,3,1,False
2421752,12,16,2009,2340000,1,7,6,3,1,False
2421752,12,16,2009,2340000,1,7,6,3,1,False
2421752,12,16,2009,2340000,1,7,6,3,1,False
2421752,12,16,2009,2340000,1,7,6,3,1,False
2421752,12,16,2009,2340000,1,7,6,3,1,False
2421752,12,16,2009,2340000,1,7,6,3,1,False
2421752,12,16,2009,2340000,1,7,6,3,1,False
2324275,12,5,2007,650000,3,8,6,3,1,False
952729,7,10,1987,0,3,3,0,15,18,False
952729,7,10,1987,0,3,3,0,15,18,False
952729,7,10,1987,0,3,3,0,15,18,False
952729,7,10,1987,0,3,3,0,15,18,False
952729,7,10,1987,0,3,3,0,15,18,False
952729,7,10,1987,0,3,3,0,15,18,False
952729,7,10,1987,0,3,3,0,15,18,False
952729,7,10,1987,0,3,3,0,15,18,False
952729,7,10,1987,0,3,3,0,15,18,False
952729,7,10,1987,0,3,3,0,15,18,False
952729,7,10,1987,0,3,3,0,15,18,False
952729,7,10,1987,0,3,3,0,15,18,False
952729,7,10,1987,0,3,3,0,15,18,False
952729,7,10,1987,0,3,3,0,15,18,False
952729,7,10,1987,0,3,3,0,15,18,False
952729,7,10,1987,0,3,3,0,15,18,False
952729,7,10,1987,0,3,3,0,15,18,False
2163790,10,19,2005,394995,2,8,6,3,1,False
1965001,5,22,2003,0,3,8,6,15,5,False
2739134,6,22,2015,0,3,8,6,15,18,False
1780282,10,3,2000,292500,2,8,6,3,1,False
1506375,9,18,1996,304000,1,7,6,3,1,False
2222499,7,11,2006,0,3,8,6,15,13,False
2507747,8,25,2011,107000,3,3,2,3,1,False
2899303,10,30,2017,375000,3,8,6,3,1,False
2343480,4,21,2008,0,3,8,6,22,18,False
1440676,7,21,1995,164500,3,8,6,2,1,False
2230580,8,11,2006,140000,3,8,6,3,1,False
3000673,6,26,2019,185000,3,3,2,3,1,False
2428402,2,5,2010,0,3,3,2,18,4,False
2428402,2,5,2010,0,3,3,2,18,4,False
2428402,2,5,2010,0,3,3,2,18,4,False
2428402,2,5,2010,0,3,3,2,18,4,False
2428402,2,5,2010,0,3,3,2,18,4,False
2428402,2,5,2010,0,3,3,2,18,4,False
2428402,2,5,2010,0,3,3,2,18,4,False
2428402,2,5,2010,0,3,3,2,18,4,False
2428402,2,5,2010,0,3,3,2,18,4,False
2428402,2,5,2010,0,3,3,2,18,4,False
2428402,2,5,2010,0,3,3,2,18,4,False
2428402,2,5,2010,0,3,3,2,18,4,False
2428402,2,5,2010,0,3,3,2,18,4,False
2428402,2,5,2010,0,3,3,2,18,4,False
2428402,2,5,2010,0,3,3,2,18,4,False
2428402,2,5,2010,0,3,3,2,18,4,False
2642952,11,20,2013,699950,2,8,6,3,1,False
1381073,6,16,1994,125000,3,8,6,2,1,False
2496482,6,9,2011,542200,3,8,6,3,1,False
1970507,6,25,2003,443000,3,8,6,3,1,False
1701215,7,8,1999,225000,3,8,6,3,1,False
2841697,12,21,2016,818161,2,8,6,3,1,False
1796451,1,4,2001,129950,3,8,6,3,1,False
2130947,6,10,2005,1650000,3,8,6,3,1,False
1307121,5,5,1993,0,3,8,6,15,9,False
1890747,5,24,2002,589950,3,8,6,3,1,False
2826129,10,3,2016,0,3,3,2,15,18,False
2131180,6,10,2005,2025000,1,7,6,3,1,False
2131180,6,10,2005,2025000,1,7,6,3,1,False
2131180,6,10,2005,2025000,1,7,6,3,1,False
2131180,6,10,2005,2025000,1,7,6,3,1,False
2131180,6,10,2005,2025000,1,7,6,3,1,False
2131180,6,10,2005,2025000,1,7,6,3,1,False
2131180,6,10,2005,2025000,1,7,6,3,1,False
2131180,6,10,2005,2025000,1,7,6,3,1,False
2131180,6,10,2005,2025000,1,7,6,3,1,False
2860712,3,15,2017,0,3,8,6,15,11,False
2644191,12,5,2013,0,3,8,6,7,5,False
1663610,1,19,1999,129950,3,8,6,3,1,False
2629659,9,9,2013,285123,3,8,6,18,4,False
1565581,9,3,1997,413530,1,7,6,3,1,False
1618966,6,12,1998,189950,3,8,6,3,1,False
1823086,6,7,2001,0,3,8,6,15,10,False
2478024,2,8,2011,0,3,8,6,24,8,False
1437915,7,12,1995,0,3,8,6,3,5,False
1739890,3,1,2000,139950,3,9,6,3,1,False
2209493,5,14,2006,830000,3,8,6,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
1504229,9,5,1996,7330250,3,3,2,3,1,False
